,# assembly_accession,taxid,species_taxid,organism_name,infraspecific_name,assembly_level,genome_rep,ftp_path,sp,testID
2238,GCF_000174035.1,553481,1764,Mycobacterium avium subsp. avium ATCC 25291,strain=ATCC 25291,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/035/GCF_000174035.1_ASM17403v1,Mycobacterium_avium,ntm10
2606,GCF_000184435.1,278137,1804,Mycolicibacterium gilvum Spyr1,strain=Spyr1,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/435/GCF_000184435.1_ASM18443v1,Mycolicibacterium_gilvum,ntm11
3014,GCF_000195855.1,272631,1769,Mycobacterium leprae TN,strain=TN,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/855/GCF_000195855.1_ASM19585v1,Mycobacterium_leprae,ntm12
3274,GCF_000214155.1,875328,875328,Mycolicibacter sinensis,strain=JDM601,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/155/GCF_000214155.1_ASM21415v1,Mycolicibacter_sinensis,ntm13
3564,GCF_000222105.3,1041522,339268,Mycobacterium colombiense CECT 3035,strain=CECT 3035,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/105/GCF_000222105.3_ASM22210v4,Mycobacterium_colombiense,ntm14
3868,GCF_000230895.2,710685,36814,Mycolicibacterium rhodesiae NBB3,strain=NBB3,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/895/GCF_000230895.2_ASM23089v3,Mycolicibacterium_rhodesiae,ntm15
3878,GCF_000231155.1,1087483,36809,Mycobacteroides abscessus 47J26,strain=47J26,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/155/GCF_000231155.1_ASM23115v2,Mycobacteroides_abscessus,ntm16
3934,GCF_000233935.1,451644,451644,Mycolicibacterium conceptionense,strain=JR2009,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/935/GCF_000233935.1_Mfort_1.0,Mycolicibacterium_conceptionense,ntm17
3962,GCF_000234585.1,1078020,1797,Mycolicibacterium thermoresistibile ATCC 19527,strain=ATCC 19527,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/585/GCF_000234585.1_ASM23458v1,Mycolicibacterium_thermoresistibile,ntm18
4120,GCF_000239035.1,1091046,36809,Mycobacteroides abscessus subsp. bolletii BD,strain=BD,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/035/GCF_000239035.1_ASM23903v2,Mycobacteroides_bolletii,ntm19
4121,GCF_000239055.1,1001714,36809,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300,strain=CCUG 48898,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/055/GCF_000239055.1_ASM23905v2,Mycobacteroides_massiliense,ntm20
4179,GCF_000240485.1,1078011,1764,Mycobacterium avium subsp. avium DT 78,strain=DT 78,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/485/GCF_000240485.1_ASM24048v2,Mycobacterium_avium,ntm21
4287,GCF_000243415.2,710687,75922,Mycolicibacterium tusciae JS617,strain=JS617,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/415/GCF_000243415.2_ASM24341v3,Mycolicibacterium_tusciae,ntm22
4828,GCF_000257225.2,1149134,36809,Mycobacteroides abscessus M93,strain=M93,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/225/GCF_000257225.2_ASM25722v2,Mycobacteroides_abscessus,ntm23
4829,GCF_000257245.2,1158135,36809,Mycobacteroides abscessus M94,strain=M94,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/245/GCF_000257245.2_ASM25724v2,Mycobacteroides_abscessus,ntm24
4843,GCF_000257725.1,1150599,1771,Mycolicibacterium phlei RIVM601174,strain=RIVM601174,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/725/GCF_000257725.1_ASM25772v1,Mycolicibacterium_phlei,ntm25
4844,GCF_000257745.1,1150591,1789,Mycobacterium xenopi RIVM700367,strain=RIVM700367,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/745/GCF_000257745.1_ASM25774v1,Mycobacterium_xenopi,ntm26
4944,GCF_000260575.2,1162288,36809,Mycobacteroides abscessus M154,strain=M154,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/575/GCF_000260575.2_ASM26057v2,Mycobacteroides_abscessus,ntm27
4945,GCF_000260595.1,1162287,36809,Mycobacteroides abscessus M115,strain=M115,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/595/GCF_000260595.1_ASM26059v1,Mycobacteroides_abscessus,ntm28
4946,GCF_000260615.2,1162284,36809,Mycobacteroides abscessus M24,strain=M24,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/615/GCF_000260615.2_M24_version02,Mycobacteroides_abscessus,ntm29
4963,GCF_000261085.1,1162283,36809,Mycobacteroides abscessus subsp. bolletii M18,strain=M18,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/085/GCF_000261085.1_ASM26108v1,Mycobacteroides_bolletii,ntm30
4964,GCF_000261105.1,1162285,36809,Mycobacteroides abscessus M159,strain=M159,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/105/GCF_000261105.1_ASM26110v1,Mycobacteroides_abscessus,ntm31
4965,GCF_000261125.1,1162286,36809,Mycobacteroides abscessus M172,strain=M172,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/125/GCF_000261125.1_ASM26112v1,Mycobacteroides_abscessus,ntm32
5210,GCF_000266905.1,710421,1800,Mycolicibacterium chubuense NBB4,strain=NBB4,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/266/905/GCF_000266905.1_ASM26690v1,Mycolicibacterium_chubuense,ntm33
5369,GCF_000270565.1,1001720,36809,Mycobacteroides abscessus 3A-0930-R,strain=3A-0930-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/565/GCF_000270565.1_ASM27056v1,Mycobacteroides_abscessus,ntm34
5370,GCF_000270585.1,1001716,36809,Mycobacteroides abscessus 3A-0122-S,strain=3A-0122-S,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/585/GCF_000270585.1_ASM27058v1,Mycobacteroides_abscessus,ntm35
5371,GCF_000270605.1,1001737,36809,Mycobacteroides abscessus 6G-0728-R,strain=6G-0728-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/605/GCF_000270605.1_ASM27060v1,Mycobacteroides_abscessus,ntm36
5372,GCF_000270625.1,1001724,36809,Mycobacteroides abscessus 4S-0116-S,strain=4S-0116-S,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/625/GCF_000270625.1_ASM27062v1,Mycobacteroides_abscessus,ntm37
5373,GCF_000270645.1,1001739,36809,Mycobacteroides abscessus 6G-0212,strain=6G-0212,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/645/GCF_000270645.1_ASM27064v1,Mycobacteroides_abscessus,ntm38
5374,GCF_000270665.1,1001714,36809,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300,strain=CCUG48898,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/665/GCF_000270665.1_ASM27066v1,Mycobacteroides_massiliense,ntm39
5375,GCF_000270685.2,1001725,36809,Mycobacteroides abscessus 4S-0116-R,strain=4S-0116-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/685/GCF_000270685.2_ASM27068v2,Mycobacteroides_abscessus,ntm40
5376,GCF_000270705.1,1001718,36809,Mycobacteroides abscessus 3A-0731,strain=3A-0731,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/705/GCF_000270705.1_ASM27070v1,Mycobacteroides_abscessus,ntm41
5377,GCF_000270725.1,1001719,36809,Mycobacteroides abscessus 3A-0930-S,strain=3A-0930-S,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/725/GCF_000270725.1_ASM27072v1,Mycobacteroides_abscessus,ntm42
5378,GCF_000270745.2,1001723,36809,Mycobacteroides abscessus 4S-0206,strain=4S-0206,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/745/GCF_000270745.2_ASM27074v2,Mycobacteroides_abscessus,ntm43
5379,GCF_000270765.1,1001713,36809,Mycobacteroides abscessus subsp. bolletii 2B-0307,strain=2B-0307,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/765/GCF_000270765.1_ASM27076v1,Mycobacteroides_bolletii,ntm44
5380,GCF_000270785.1,1001712,36809,Mycobacteroides abscessus subsp. bolletii 2B-0912-S,strain=2B-0912-S,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/785/GCF_000270785.1_ASM27078v1,Mycobacteroides_bolletii,ntm45
5381,GCF_000270805.1,1001711,36809,Mycobacteroides abscessus subsp. bolletii 2B-0912-R,strain=2B-0912-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/805/GCF_000270805.1_ASM27080v1,Mycobacteroides_bolletii,ntm46
5382,GCF_000270825.1,1001721,36809,Mycobacteroides abscessus 3A-0119-R,strain=3A-0119-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/825/GCF_000270825.1_ASM27082v1,Mycobacteroides_abscessus,ntm47
5383,GCF_000270845.1,1001715,36809,Mycobacteroides abscessus 3A-0122-R,strain=3A-0122-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/845/GCF_000270845.1_ASM27084v1,Mycobacteroides_abscessus,ntm48
5384,GCF_000270865.1,1001741,36809,Mycobacteroides abscessus 6G-0125-S,strain=6G-0125-S,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/865/GCF_000270865.1_ASM27086v1,Mycobacteroides_abscessus,ntm49
5385,GCF_000270885.1,1001706,36809,Mycobacteroides abscessus subsp. bolletii 1S-153-0915,strain=1S-153-0915,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/885/GCF_000270885.1_ASM27088v1,Mycobacteroides_bolletii,ntm50
5386,GCF_000270905.1,1001708,36809,Mycobacteroides abscessus subsp. bolletii 2B-0626,strain=2B-0626,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/905/GCF_000270905.1_ASM27090v1,Mycobacteroides_bolletii,ntm51
5387,GCF_000270925.1,1001709,36809,Mycobacteroides abscessus subsp. bolletii 2B-1231,strain=2B-1231,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/925/GCF_000270925.1_ASM27092v1,Mycobacteroides_bolletii,ntm52
5388,GCF_000270945.1,1001710,36809,Mycobacteroides abscessus subsp. bolletii 2B-0107,strain=2B-0107,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/945/GCF_000270945.1_ASM27094v1,Mycobacteroides_bolletii,ntm53
5389,GCF_000270965.1,1001732,36809,Mycobacteroides abscessus 5S-0921,strain=5S-0921,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/965/GCF_000270965.1_ASM27096v1,Mycobacteroides_abscessus,ntm54
5390,GCF_000270985.1,1001740,36809,Mycobacteroides abscessus 6G-0125-R,strain=6G-0125-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/985/GCF_000270985.1_ASM27098v1,Mycobacteroides_abscessus,ntm55
5391,GCF_000271005.1,1001735,36809,Mycobacteroides abscessus 5S-0817,strain=5S-0817,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/005/GCF_000271005.1_ASM27100v1,Mycobacteroides_abscessus,ntm56
5392,GCF_000271025.1,1001733,36809,Mycobacteroides abscessus 5S-1212,strain=5S-1212,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/025/GCF_000271025.1_ASM27102v1,Mycobacteroides_abscessus,ntm57
5393,GCF_000271045.1,1001734,36809,Mycobacteroides abscessus 5S-1215,strain=5S-1215,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/045/GCF_000271045.1_ASM27104v1,Mycobacteroides_abscessus,ntm58
5394,GCF_000271065.1,1001731,36809,Mycobacteroides abscessus 5S-0422,strain=5S-0422,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/065/GCF_000271065.1_ASM27106v1,Mycobacteroides_abscessus,ntm59
5395,GCF_000271085.1,1001730,36809,Mycobacteroides abscessus 5S-0708,strain=5S-0708,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/085/GCF_000271085.1_ASM27108v1,Mycobacteroides_abscessus,ntm60
5396,GCF_000271105.1,1001717,36809,Mycobacteroides abscessus 3A-0810-R,strain=3A-0810-R,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/105/GCF_000271105.1_ASM27110v1,Mycobacteroides_abscessus,ntm61
5397,GCF_000271125.1,1001722,36809,Mycobacteroides abscessus 4S-0303,strain=4S-0303,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/125/GCF_000271125.1_ASM27112v1,Mycobacteroides_abscessus,ntm62
5398,GCF_000271145.1,1001738,36809,Mycobacteroides abscessus 6G-1108,strain=6G-1108,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/145/GCF_000271145.1_ASM27114v1,Mycobacteroides_abscessus,ntm63
5399,GCF_000271165.1,1001704,36809,Mycobacteroides abscessus subsp. bolletii 1S-151-0930,strain=1S-151-0930,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/165/GCF_000271165.1_ASM27116v1,Mycobacteroides_bolletii,ntm64
5400,GCF_000271185.1,1001736,36809,Mycobacteroides abscessus 6G-0728-S,strain=6G-0728-S,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/185/GCF_000271185.1_ASM27118v1,Mycobacteroides_abscessus,ntm65
5401,GCF_000271205.1,1001728,36809,Mycobacteroides abscessus 5S-0304,strain=5S-0304,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/205/GCF_000271205.1_ASM27120v1,Mycobacteroides_abscessus,ntm66
5402,GCF_000271225.1,1001729,36809,Mycobacteroides abscessus 5S-0421,strain=5S-0421,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/225/GCF_000271225.1_ASM27122v1,Mycobacteroides_abscessus,ntm67
5403,GCF_000271245.1,1001726,36809,Mycobacteroides abscessus 4S-0726-RA,strain=4S-0726-RA,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/245/GCF_000271245.1_ASM27124v1,Mycobacteroides_abscessus,ntm68
5404,GCF_000271265.1,1001727,36809,Mycobacteroides abscessus 4S-0726-RB,strain=4S-0726-RB,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/265/GCF_000271265.1_ASM27126v1,Mycobacteroides_abscessus,ntm69
5405,GCF_000271285.1,1001705,36809,Mycobacteroides abscessus subsp. bolletii 1S-152-0914,strain=1S-152-0914,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/285/GCF_000271285.1_ASM27128v1,Mycobacteroides_bolletii,ntm70
5637,GCF_000276825.1,1138383,1138383,Mycobacterium paraintracellulare,strain=MOTT64,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/825/GCF_000276825.1_ASM27682v1,Mycobacterium_paraintracellulare,ntm71
5645,GCF_000277125.1,487521,1767,Mycobacterium intracellulare ATCC 13950,strain=ATCC 13950,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/125/GCF_000277125.1_ASM27712v1,Mycobacterium_intracellulare,ntm72
5646,GCF_000277145.1,1138382,1767,Mycobacterium intracellulare MOTT-02,strain=MOTT-02,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/145/GCF_000277145.1_ASM27714v1,Mycobacterium_intracellulare,ntm73
5673,GCF_000277775.2,1198627,36809,Mycobacteroides abscessus subsp. massiliense str. GO 06,strain=GO 06,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/775/GCF_000277775.2_ASM27777v2,Mycobacteroides_massiliense,ntm74
5792,GCF_000280595.1,1175632,36809,Mycobacteroides abscessus M139,strain=M139,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/595/GCF_000280595.1_ASM28059v1,Mycobacteroides_abscessus,ntm75
5793,GCF_000280615.1,1176125,36809,Mycobacteroides abscessus M152,strain=M152,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/615/GCF_000280615.1_ASM28061v1,Mycobacteroides_abscessus,ntm76
5794,GCF_000280635.2,1185414,36809,Mycobacteroides abscessus M156,strain=M156,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/635/GCF_000280635.2_ASM28063v2,Mycobacteroides_abscessus,ntm77
5901,GCF_000283295.1,246196,1772,Mycolicibacterium smegmatis MC2 155,strain=MC2 155,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/295/GCF_000283295.1_ASM28329v1,Mycolicibacterium_smegmatis,ntm78
6426,GCF_000295825.1,1194972,1810,Mycolicibacterium vaccae ATCC 25954,strain=ATCC 25954,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/825/GCF_000295825.1_ASM29582v1,Mycolicibacterium_vaccae,ntm79
6427,GCF_000295855.1,1214102,1766,Mycolicibacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 = JCM 6387,strain=DSM 46621,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/295/855/GCF_000295855.1_ASM29585v1,Mycolicibacterium_fortuitum,ntm80
6518,GCF_000298095.1,1232724,1767,Mycobacterium intracellulare subsp. intracellulare MTCC 9506,strain=MTCC 9506,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/095/GCF_000298095.1_ASM29809v1,Mycobacterium_intracellulare,ntm81
6604,GCF_000300375.1,1122247,46351,Mycolicibacterium hassiacum DSM 44199,strain=DSM 44199,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/375/GCF_000300375.1_ASM30037v1,Mycolicibacterium_hassiacum,ntm82
6936,GCF_000308015.1,1001707,36809,Mycobacteroides abscessus subsp. bolletii 1S-154-0310,strain=1S-154-0310,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/015/GCF_000308015.1_ASM30801v1,Mycobacteroides_bolletii,ntm83
6981,GCF_000309055.1,1214063,1767,Mycobacterium intracellulare M.i.198,strain=M.i.198,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/309/055/GCF_000309055.1_Mintra_1.0,Mycobacterium_intracellulare,ntm84
7308,GCF_000317305.3,700508,1795,Mycolicibacterium neoaurum VKM Ac-1815D,strain=VKM Ac-1815D,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/305/GCF_000317305.3_ASM31730v3,Mycolicibacterium_neoaurum,ntm85
7873,GCF_000331165.2,1214915,1772,Mycolicibacterium smegmatis MKD8,strain=MKD8,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/165/GCF_000331165.2_ASM33116v2,Mycolicibacterium_smegmatis,ntm86
7923,GCF_000332605.1,1246644,36809,Mycobacteroides abscessus 9808,strain=9808,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/332/605/GCF_000332605.1_SOAPdenovo_v1.06,Mycobacteroides_abscessus,ntm87
7961,GCF_000333695.1,1166017,36809,Mycobacteroides abscessus CF,strain=CF,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/333/695/GCF_000333695.1_ASM33369v1,Mycobacteroides_abscessus,ntm88
8229,GCF_000340435.2,1202450,29311,Mycobacterium haemophilum DSM 44634,strain=ATCC 29548,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/435/GCF_000340435.2_ASM34043v3,Mycobacterium_haemophilum,ntm89
9256,GCF_000363915.2,1087469,36809,Mycobacteroides abscessus subsp. bolletii INCQS 00594,strain=INCQS 00594,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/363/915/GCF_000363915.2_MaINCQS00594_1.0,Mycobacteroides_bolletii,ntm90
9903,GCF_000379865.1,1122247,46351,Mycolicibacterium hassiacum DSM 44199,strain=DSM 44199,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/865/GCF_000379865.1_ASM37986v1,Mycolicibacterium_hassiacum,ntm91
11236,GCF_000418535.1,1138871,1767,Mycobacterium intracellulare subsp. yongonense 05-1390,strain=05-1390,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/535/GCF_000418535.1_ASM41853v2,Mycobacterium_yongonense,ntm92
11238,GCF_000418575.1,1306401,36809,Mycobacteroides abscessus subsp. bolletii CRM-0020,strain=CRM-0020,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/575/GCF_000418575.1_CRM0020_v1.0,Mycobacteroides_bolletii,ntm93
11266,GCF_000419315.1,1229516,1781,Mycobacterium marinum str. Europe,strain=Europe,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/315/GCF_000419315.1_Europe,Mycobacterium_marinum,ntm94
11267,GCF_000419335.1,1288036,1781,Mycobacterium marinum MB2,strain=MB2,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/335/GCF_000419335.1_MB2,Mycobacterium_marinum,ntm95
11931,GCF_000443145.1,1353275,36809,Mycobacteroides abscessus V06705,strain=V06705,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/145/GCF_000443145.1_V06705,Mycobacteroides_abscessus,ntm96
12001,GCF_000445035.1,1303024,36809,Mycobacteroides abscessus subsp. bolletii 50594,strain=50594,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/035/GCF_000445035.1_ASM44503v1,Mycobacteroides_bolletii,ntm97
12443,GCF_000455165.1,1370125,912594,Mycolicibacterium iranicum UM_TJL,strain=UM_TJL,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/165/GCF_000455165.1_Mycobacterium_iranicum_UM_TJL,Mycolicibacterium_iranicum,ntm98
12449,GCF_000455305.1,1236483,1784,Mycobacterium simiae ATCC 25275 = DSM 44165,strain=ATCC 25275 = DSM 44165,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/305/GCF_000455305.1_MsimiaeDSM44165,Mycobacterium_simiae,ntm99
12450,GCF_000455325.1,1341646,98668,Mycolicibacterium septicum DSM 44393,strain=type strain: DSM 44393,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/325/GCF_000455325.1_Mycobacterium_septicum_DSM44393T,Mycolicibacterium_septicum,ntm100
14031,GCF_000497265.2,1001714,36809,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300,strain=JCM 15300,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/497/265/GCF_000497265.2_ASM49726v2,Mycobacteroides_massiliense,ntm101
14822,GCF_000521845.1,1445611,1772,Mycolicibacterium smegmatis MC2 51,strain=MC2 51,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/845/GCF_000521845.1_MC2_51v1,Mycolicibacterium_smegmatis,ntm102
14883,GCF_000523615.1,1299326,1768,Mycobacterium kansasii 662,strain=662,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/615/GCF_000523615.1_ASM52361v1,Mycobacterium_kansasii,ntm103
14885,GCF_000523655.1,1335418,1764,Mycobacterium avium MAV_061107_1842,strain=MAV_061107_1842,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/655/GCF_000523655.1_ASM52365v1,Mycobacterium_avium,ntm104
